WarehouseNbr,UOM,Category,Cost,ItemDesc
12095,EA,02,61.55,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 12'."
12096,EA,02,62.89,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 12'6""."
12097,EA,02,63.16,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 13'6""."
12098,EA,02,119.99,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 14'."
12099,EA,02,67.25,"CROSSARM, FIBEROPTIC, DOUG FIR 3 5/8"" X 5 5/8"" X 14'6""."
12100,EA,02,61.17,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 14'."
12101,EA,02,96.07,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 14""6""."
12102,EA,02,104.92,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 15'."
12103,EA,02,96.41,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 15'6""."
12104,EA,02,71.604,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 16'."
12105,EA,02,108.67,"CROSSARM, FIBEROPTIC, DOUG FIR 4 5/8"" X 5 5/8"" X 18'."
12106,EA,02,387.88,"CROSSARM, FIBEROPTIC,LAMINATED 6"" X 6 3/4"" X 16'6""."
12107,EA,02,230.62,"CROSSARM, FIBEROPTIC,LAMINATED 6"" X 6 3/4"" X 17'6""."
12108,EA,02,169.23,"CROSSARM, FIBEROPTIC,LAMINATED 6"" X 6 3/4"" X 19'."
12109,EA,02,179.61,"CROSSARM, FIBEROPTIC,LAMINATED 6"" X 6 3/4"" X 20'."
12110,EA,02,426.85,"CROSSARM, FIBEROPTIC,LAMINATED 7 1/2"" X 8 1/2"" X 26'6""."
12111,EA,02,434.9,"CROSSARM, FIBEROPTIC,LAMINATED 7 1/2"" X 8 1/2"" X 27'."
12112,EA,02,442.95,"CROSSARM, FIBEROPTIC,LAMINATED 7 1/2"" X 8 1/2"" X 27'6""."
12113,EA,02,26.6923,"FIBEROPTIC,  2"" OUTLET CAP. "
12114,EA,02,1414,"VAULT, CONCRETE, BODY ONLY, 12' X 6' X 8'."
12115,EA,02,990,"VAULT, CONCRETE, BASE ONLY, 12' X 6 ' X18""."
12116,EA,02,1162,"VAULT, CONCRETE COVER, 12' X 6' X 18"" W/42"" ROUND HOLE."
12117,EA,02,582.5,"POLE, DISTRIBUTION, 35'CL.6, FIBERGLASS."
12118,EA,02,1023,"POLE, DISTRIBUTION, 45'CL.4, FIBERGLASS"
12119,EA,02,3.6875,"CLIMBING STEP ATTACHMENT, FIBERGLASS POLE."
12120,EA,02,5,"DETACHABLE CLIMBING STEP, FIBERGLASS POLE."
12121,EA,02,0,"POWERTRAX-1000, 6 HOLE PLUG "
12122,EA,02,0,"POWER TRACKER-8 HOLE PLUG, 150 "
12123,EA,02,0,"POWER TRACKER-8 HOLE W/PHONE, 1500."
12124,EA,02,0,"POWER TRACKER-8 HOLE W/CATV, 150."
12125,EA,02,0,"LAMP, 15 WATT, EARTH LIGHT "
12126,EA,02,0,"LAMP, 23 WATT, EARTH LIGHT. "
12127,EA,02,0,"FLOOD LIGHT, 18 WATT, EARTH LIGHT LAMP."
12128,EA,02,2.894,"BOLT,ASSEMBLY,STAINLESS STEEL, 1/2"" X 2 1/2"".(SEE MEMO)"
12129,EA,02,0,POWERTRAX MODULE-PHONE 
12130,EA,02,0,POWERTRAX MODULE-CABLE TV. 
12131,EA,02,0,"POWER TRACKER 1000, WALLMOUNT. "
12134,EA,02,8.05,"FUSE, CURRENT SENSING, BAYONET FUSE, 40 AMP."
12135,EA,02,541,XFMR-POLE-15 KVA-277/480 
12136,EA,02,900,XFMR-POLE-167 KVA-277/480 
12137,EA,02,95.76,"FUSE UNIT, TYPE PM, 15 KV, 61 AMP."
12138,EA,02,17112.3704,"RECLOSER, SINGLE PHASE TRIP, POLEMOUNTED, DISTRIBUTION."
12139,EA,02,21294,"RECLOSER,3 PHASE TRIP, DISTRIBUTION."
12140,EA,02,4290.46,"SWITCHGEAR, TYPE VFI, SINGLE PHASE, 200A,STAINLESS STEEL."
12142,EA,02,660,"PILING, 30 FOOT, 16"" BUTT. "
12141,EA,02,389,"PILING, 30' WITH 14"" BUTT. "
12143,EA,02,400,"PILING, 40' WITH 12"" BUTT. "
12144,EA,02,2395,"POLE, STEEL, 70' CL. 2 "
12145,EA,02,2615,"POLE, STEEL, 75' CL.1 "
12146,EA,02,4212,"POLE, STEEL, 95' CL. H1 "
12147,EA,02,3579,"POLE, STEEL, 95' CL.2 "
12148,EA,02,54.25,"SPLICE KIT, REPAIR,obsolete AL, 175/220 MIL, 15 KV."
12132,EA,02,456,"RISER, CEMENT, 18"" EXTENSION 4'8"" VAULT"
12149,EA,02,134.0033,PUSH BRACE ASSEMBLY 
12150,EA,02,0.1,"SPLICE KIT, T-SPLICE, #2 STR. 175 MIL, 15 KV."
12156,EA,02,4.3603,"CONNECTOR, GROUNDING, BRONZE, #6 SOL-1/0 STR. CONDUCTOR."
12157,EA,02,20.9886,"BODY ONLY, #2 STR-1/0 STR,ALUM 175/220 MIL, 15 KV.(SHORT)"
12151,EA,02,72.7541,"BODY ONLY, REPAIR, #2-1/0 STR, 175/220 MIL, 15 KV,(LONG)"
12152,EA,02,2.6574,"COMPRESSION SLEEVE, #2 STR. ALUM, 15 KV."
12153,EA,02,3.1498,"SLEEVE, COMPRESSION, 1/0 STR. ALUM, 15 KV."
12154,EA,02,10.7229,"SLEEVE, COMPRESSION, REPAIR, #2 STR. ALUM, 15 KV."
12155,EA,02,9.1685,"SLEEVE, COMPRESSION, REPAIR, 1/0 STR. ALUM, 15 KV."
12158,EA,02,438,"POLE, STEEL, 45' DISTRIBUTION, DRILLED TO THE PUD'S SPEC'S."
12159,EA,02,7.0646,"SLEEVE, COMPRESSION, REDUCER, #2-1/0 STR. ALUM, 15 KV."
12160,EA,02,45.3047,"ELBOW, BASIC BODY, T-BODY, 600 AMP, U.G., 15KV."
12161,EA,02,12.7,"ADAPTER, CABLE, 600 AMP, 15KV, ELBOW, 4/0 AL/CU, 220 MIL."
12162,EA,02,12.4,"ADAPTER, CABLE, 600 AMP, 15KV, ELBOW, 500 KCM AL/CU, 175 MIL."
12163,EA,02,11.9857,"ADAPTER, CABLE, 600 AMP, 15KV, ELBOW, 750 KCM AL/CU, 175 MIL"
12164,EA,02,13.0404,"ADAPTER, CABLE, 600 AMP, 15KV ELBOW, 750 KCM AL/CU, 220 MIL"
12165,EA,02,34.125,"CONNECTOR, COMPRESSION, ELBOW, 15KV, 600 AMP, 4/0 AL/CU."
12166,EA,02,35.26,"CONNECTOR, COMPRESSION, ELBOW, 15KV, 600 AMP, 500 KCM AL/CU."
12167,EA,02,37.5324,"CONNECTOR, COMPRESSION, ELBOW, 15KV, 600 AMP, 750 KCM AL/CU."
12168,EA,02,150,"PHASE SPACER, CONDUCTOR, 15KV, WITH OUT INSULATOR."
12169,EA,02,38.4821,"FIBER OPTIC-SPLICE TRAY KIT, SINGLE FIBER (36 COUNT)."
12170,EA,02,271.53,"FIBER OPTIC-SPLICE ENCLOSURE COYOTE 6.5"" X 22"" DOME"
12171,EA,02,36.5192,"FIBER OPTIC-DEAD END, LIMITED TENSION, .482-.510."
12172,EA,02,50,"FIBER OPTIC, SUSPENSION, .477-.503."
12173,EA,02,113.2068,"FIBER OPTIC, SUSPENSION, .683-.710."
12174,EA,02,9.463,"FIBER OPTIC, THIMBLE EYE CLEVIS, LIMITED TENSION."
12175,EA,02,700,XFMR-RR1-25 KVA-120/240 
12176,EA,02,44.6,"VISOR, GLARE SHIELD, 400 WATT, FLOOD LIGHT-COOPER LIGHT"
12177,EA,02,0,UNIT PRICE LABOR COST-PER TRENCH FOOT.
12178,EA,02,0,UNIT PRICE LABOR COST-DIRECT BURIAL CONDUCTOR
12179,EA,02,332.1808,"METER, FM9S, CL20, 120-480V, DEMAN, REACTIVE."
12180,EA,02,205.0019,"METER, FM9S, CL20, 120-480 V, DEMAND."
12181,EA,02,54.6,"METER, FM1S, CL100, 120 VOLT. "
12182,EA,02,27.7,"METER, 4 TERM, 1P-3 WIRE, 240/120V, 200A, NONDEMAND."
12183,EA,02,64.5271,"METER, 1 PHASE, CL320, TYPE I70S."
12184,EA,02,130.6402,"METER, FM12S, CL200, 120 VOLT. "
12185,EA,02,216.8807,"METER, FM12S, CL200, 120-480V, DEMAND."
12186,EA,02,69.5,"METER, 6 TERM, 3W-C.T., 1P-10A 240/120V, NON-DEMAND."
12187,EA,02,52,"METER, 7 TERM, 4 W O/C DELTA, 3P-100A, 240/120V, NONDEMAND."
12188,EA,02,52,"METER, 7 TERM, 4W, CLOSED WYE, 120/208V, 3P-100A, NONDEMAND."
12189,EA,02,52,"METER, 7 TERM, 4W, O/C DELTA, 240/120V, 3P-200A, DEMAND."
12190,EA,02,198.5165,"METER, FM16S, CL200, 120-480V, DEMAND."
12191,EA,02,112,"METER, 8 TERM, 3W, C.T.-DELTA, 240V, 3P-20A, DEMAND."
12192,EA,02,303.8,"METER, FM45S, CL20, 120-480V, DEMAND, REACTIVE."
12193,EA,02,198,"METER, PRIMARY, OH RACK, 7.2KV C.T.-P.T., 1P, NS, 20A, DEMAND"
12194,EA,02,150,"METER, PRIMARY, OH RACK, 7.2KV C.T.-P.T.,3P,1/0 METER, DEMAND"
12195,EA,02,13.25,"LENS ONLY, SENTRY LIGHT, OPEN FACE, 70 W HPS, AMERICAN ELEC."
12196,EA,02,1200,XFMR-RR1-15 KVA-120/240 
12197,BX,02,7.4969,"WIPERS, ALL-PURPOSE "
12216,EA,02,4500,"POLE, TRANSMISSION, 100'CL.H1, PENTA TREATED DOUG FIR, BLANK"
12215,EA,02,4000,"POLE, TRANSMISSION, 100'CL.1, PENTA TREATED DOUG FIR, BLANK"
12214,EA,02,4200,"POLE, TRANSMISSION, 95'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12213,EA,02,4000,"POLE, TRANSMISSION, 95'CL.1, PENTA TREATED DOUG FIR, BLANK."
12212,EA,02,2450,"POLE, TRANSMISSION, 95'CL.2, PENTA TREATED DOUG FIR, BLANK"
12211,EA,02,2260,"POLE, TRANSMISSION, 90'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12210,EA,02,2508,"POLE, TRANSMISSION, 90'CL.1, PENTA TREATED DOUG FIR, BLANK"
12209,EA,02,2601,"POLE, TRANSMISSION, 85'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12208,EA,02,2300,"POLE, TRANSMISSION, 85'CL.1, PENTA TREATED DOUG FIR, BLANK."
12207,EA,02,2350,"POLE, TRANSMISSION, 80'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12206,EA,02,2058,"POLE, TRANSMISSION, 80'CL.1, PENTA TREATED DOUG FIR, BLANK."
12205,EA,02,2350,"POLE, TRANSMISSION, 75'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12204,EA,02,1787.6543,"POLE, TRANSMISSION, 75'CL.1, PENTA TREATED DOUG FIR, BLANK."
12203,EA,02,2116,"POLE, TRANSMISSION, 70'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12202,EA,02,1622.9584,"POLE, TRANSMISSION, 70'CL.1, PENTA TREATED DOUG FIR, BLANK."
12201,EA,02,1012,"POLE, TRANSMISSION, 65'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12200,EA,02,1386.5889,"POLE, TRANSMISSION, 65'CL.1, PENTA TREATED DOUG FIR, BLANK."
12199,EA,02,1405,"POLE,TRANSMISSION, 60'CL.H1, PENTA TREATED DOUG FIR, BLANK."
12198,EA,02,960.925,"POLE,60'CL.1,BLANK SAME AS STOCK NUMBER #12433"
12217,EA,02,2160,"POLE, STEEL, 70'CL.1 "
12218,EA,02,10633.5,"POLE, STEEL, 75', TRANSMISSION PER PUD SPECIFICATIONS"
12219,EA,02,3240,"POLE, STEEL, 95'CL.1 "
12220,EA,02,68.75,"PLUG, CONNECTING, 600 AMP, COPPER, W/O STUD."
12221,EA,02,30.4817,"RACK, CABLE, NON-METALLIC CABLE ARM, 14"""
12222,EA,02,24.9505,"CONNECTOR, #4-500 KCM, U.G., 4 POSITION."
12223,EA,02,15700,"VACUUM FAULT INTERRUPTER, THREE PHASE, 15KV, 600/200 AMP"
12224,EA,02,17.8129,"SLEEVE, REDUCER, 1/0 STR.- #2 STR. COPPER."
12225,EA,02,16828.86,"SWITCHGEAR, VFI-9, 6-600 AMP BUSHING,6-200 AMP BUSHING."
12229,EA,02,350,"GROUND SLEEVE, BODY ONLY, 42"" X 38"" X 39""."
12230,EA,02,1,PAD MOUNTED FIBERGLASS ENCLOSURE.(CT/PT METERING)
12231,EA,02,239,"CONCRETE PAD, 4' X 4'. (PRI. METERING/ENCLOSURE)"
12226,EA,02,6.5,CONNECTOR COVERS FOR STK # 11367 & 11371
12227,EA,02,10.2195,"CONNECTOR COVERS FOR STK# 11370,11372, & 11373."
12228,EA,02,832,"VAULT, CONCRETE COVER, 5'X7', SUBSTATION FEEDER RISERS."
12232,EA,02,183.9362,"SWITCH, TENSION DISCONNECT, 27 KV, 150 BIL, 600 AMP."
12233,FT,02,1.57,"FIBER OPTIC CABLE, 36 COUNT FIBER ADSS, 500' SPAN"
12234,FT,02,1.3152,"FIBER OPTIC CABLE, 36 COUNT FIBER ADSS, 1500' SPAN"
12235,FT,02,2.3,"FIBER OPTIC CABLE, 40 COUNT FIBER ADSS, 1500' SPAN."
12236,FT,02,2.9,"FIBER OPTIC CABLE, 48 COUNT FIBER ADSS, 1500' SPAN."
12237,FT,02,1.7275,"FIBER OPTIC CABLE, 72 COUNT FIBER ADSS, 2500' SPAN."
12238,FT,02,3.57,"FIBER OPTIC CABLE, 84 COUNT FIBER ADSS, 1500' SPAN."
12239,EA,02,2573,"VAULT(CONCRETE-BASE ONLY) 7'x 12', FOR VFI SWITCH."
12240,EA,02,40,"POLE, RUBBING POST, 10' "
12241,EA,02,420,"CAPACITOR, 100 KVAR, 14400 V 125 KVBIL."
12242,BK,02,12095,"CAPACITOR, 1200 KVAR,12470 V, 125 KVBIL-BANK"
12243,EA,02,24.6151,STARTER BOARD REPLACEMENT FOR DURASTAR SENTRY LIGHT.
12244,EA,02,73.75,"SENTRY LIGHT, HEAD ONLY, DURASTAR,WITH OUT MAST ARM."
12245,EA,02,4.2,"TERMINAL, SPADE, TWO HOLE, #6 STR. AL. CONDUCTOR."
12246,FT,02,0.96,"CONDUCTOR, TRIPLEX, #8 COPPER. "
12247,EA,02,330,"POLE, STREET LIGHT, 14', ALUM, 3"" TOP WITH A 4 HOLE BOLT BASE"
12249,EA,02,28.0578,"TERMINAL, COMPRESSION, TWO HOLE PAD, 2/0 STR. AAAC COND."
12248,EA,02,30.8251,"TERMINAL, T-TAP DISCONNECT, 2/0 STR. AAAC CONDUCTOR."
12252,DZ,02,52.9889,"GLOVE, WHITE COTTON, (ONE SIZE FITS ALL)."
12251,DZ,02,40.7339,"GLOVE,      GRIPPER, #300, SIZE MED, LARGE, & X-LARGE."
12250,DZ,02,141.1098,"GLOVE, LEATHER, #94,(M,L,XL). "
12254,FT,02,1.5554,"CONDUCTOR, 1/0-7  STR. SOFT DRAWN COPPER."
12253,EA,02,240,"RISER, COMENT, 6"" EXTENSION RING, 5'X 7' VAULT"
12255,EA,02,23.442,"LENS,(POLYCARBONATE) FOR STREET LIGHTS(11528 & 11530)."
12257,CT,02,395.2138,"PLASTIC OIL SPILL CONTAINMENT BAG, 50 GAL SIZE."
12256,CT,02,440.9552,"PLASTIC OIL SPILL CONTAINMENT BAG, 30 GAL SIZE."
12258,EA,02,1125.75,"VAULT, CONCRETE, COVER, 5'X 9' W/HINGED LOCKING STEEL LID."
12259,EA,02,717,"VAULT, CONCRETE, CENTER SEC. 5'X 9' X 4'-10""."
12260,EA,02,434.25,"VAULT, CONCRETE, BASE ONLY, 5'X 9' X 1',"
12261,EA,02,5.2779,"CLAMP, GUY, 3-HOLE "
12262,BX,02,148.1128,"SPRAY FOAM, INSTA FOAM "
12263,EA,02,4000,"POLE, TRANSMISSION, 105'-CL.1 PENTA TREATED, DOUG FIR, BLANK"
12264,EA,02,435,"ELECTRONIC SECTIONALIZER, OBSOLETE-USE STK# 12272"
12272,EA,02,357.3694,"ELECTRONIC SECTIONALIZER, RESETTABLE, 15 KV, 400 MIN AMP"
12275,RO,02,3.5319,"PHASE TAPE, RED, 3/4""X 66', VINYL ELECTRICAL CODING TAPE."
12274,RO,02,3.4757,"PHASE TAPE, WHITE, 3/4""X 66', VINYL ELECTRICAL CODING TAPE."
12273,RO,02,3.5488,"PHASE TAPE, BLUE, 3/4""X 66', VINYL ELECTRICAL CODING TAPE."
12271,FT,02,2.331,"CONDUCTOR, CONTROL CABLE, #12 AWG-7 STR, 12 CONDUCTOR."
12270,FT,02,1.2329,"CONDUCTOR, CONTROL CABLE, #12 AWG-7 STR, 4 CONDUCTOR."
12269,FT,02,0.9245,"CONDUCTOR, CONTROL CABLE, #12 AWG-7 STR, 3 CONDUCTOR."
12268,FT,02,0.689,"CONDUCTOR, CONTROL CABLE, #12 AWG-7 STR., 2 CONDUCTOR."
12267,FT,02,1.2089,"CONDUCTOR, CONTROL CABLE, #10 AWG-7 STR., 4 CONDUCTOR."
12266,FT,02,1.1602,"CONDUCTOR, CONTROL CABLE, #10 AWG-7 STR., 3 CONDUCTOR."
12265,FT,02,0.9603,"CONDUCTOR, CONTROL CABLE, #10 AWG-7 STR., 2 CONDUCTOR."
12276,PK,02,13.0356,"HEAT SHRINKABLE REPAIR SLEEVE. 10 1/2"" X 12"". (2/0-400 COND)"
12277,EA,02,219,"POLE, DISTRIBUTION, 35'-CL.2, DOUG FIR, PENTA TREATED, BLANK"
12279,EA,02,1.7006,"PHASE TAGS, LETTER-B, COLOR-WHITE"
12278,EA,02,1.7001,"PHASE TAG, LETTER-A, COLOR-RED"
12282,EA,02,5.8319,"CONNECTOR, GROUND PARALLEL, GROUND MAT, #1 STR-2/0 STR."
